Time,Trial,Event,Player.Color,Position.X,Position.Y,Planet.Id,WhiteHole.Interaction.BluePlayer,WhiteHole.Interaction.RedPlayer,Planet.Interaction.BluePlayer,Planet.Interaction.RedPlayer,Asteroid.Interaction.BluePlayer,Asteroid.Interaction.RedPlayer
2020-03-11 12:04:07.722300,11,WhiteHole.SinglePlayer.Touch,Red Player,27.0,79.0,,0,1,0,1,0,0
2020-03-11 12:04:09.589400,11,WhiteHole.SinglePlayer.Exit,Red Player,27.0,79.0,,0,1,0,1,0,0
2020-03-11 12:04:09.599400,11,,,,,,0,0,0,1,0,0
2020-03-11 12:04:21.890100,11,WhiteHole.SinglePlayer.Touch,Red Player,54.0,79.0,,0,1,0,1,0,0
2020-03-11 12:04:23.539200,11,WhiteHole.SinglePlayer.Exit,Red Player,54.0,79.0,,0,1,0,1,0,0
2020-03-11 12:04:23.549200,11,,,,,,0,0,0,1,0,0
2020-03-11 12:04:24.189200,11,WhiteHole.SinglePlayer.Touch,Red Player,70.0,65.0,,0,1,0,1,0,0
2020-03-11 12:04:26.206300,11,WhiteHole.SinglePlayer.Exit,Red Player,70.0,65.0,,0,1,0,1,0,0
2020-03-11 12:04:26.216300,11,,,,,,0,0,0,1,0,0
2020-03-11 12:04:54.525000,11,WhiteHole.SinglePlayer.Touch,Red Player,27.0,79.0,,0,1,0,1,0,0
2020-03-11 12:04:57.409100,11,WhiteHole.SinglePlayer.Exit,Red Player,27.0,79.0,,0,1,0,1,0,0
2020-03-11 12:04:57.419100,11,,,,,,0,0,0,1,0,0
2020-03-11 12:04:57.776100,11,WhiteHole.SinglePlayer.Touch,Blue Player,27.0,79.0,,1,0,0,1,0,0
2020-03-11 12:04:57.809100,11,WhiteHole.SinglePlayer.Exit,Blue Player,27.0,79.0,,1,0,0,1,0,0
2020-03-11 12:04:57.819100,11,,,,,,0,0,0,1,0,0
2020-03-11 12:05:00.176300,11,WhiteHole.SinglePlayer.Touch,Blue Player,27.0,79.0,,1,0,0,1,0,0
2020-03-11 12:05:03.666500,11,WhiteHole.SinglePlayer.Trigger,Blue Player,27.0,79.0,,1,0,0,1,0,0
2020-03-11 12:05:03.676500,11,,,,,,0,0,0,1,0,0
2020-03-11 12:05:07.464700,11,Planet.SinglePlayer.Exit,Red Player,65.0,63.0,6328.0,0,0,0,1,0,0
2020-03-11 12:05:07.474700,11,,,,,,0,0,0,0,0,0
2020-03-11 12:05:07.910700,11,Planet.Creation,Red Player,68.0,47.0,6650.0,0,0,0,0,0,0
2020-03-11 12:05:10.976900,11,WhiteHole.SinglePlayer.Touch,Blue Player,70.0,65.0,,1,0,0,0,0,0
2020-03-11 12:05:11.260900,11,WhiteHole.SinglePlayer.Exit,Blue Player,70.0,65.0,,1,0,0,0,0,0
2020-03-11 12:05:11.270900,11,,,,,,0,0,0,0,0,0
2020-03-11 12:05:11.659900,11,WhiteHole.SinglePlayer.Touch,Blue Player,70.0,65.0,,1,0,0,0,0,0
2020-03-11 12:05:12.561000,11,WhiteHole.SinglePlayer.Exit,Blue Player,70.0,65.0,,1,0,0,0,0,0
2020-03-11 12:05:12.571000,11,,,,,,0,0,0,0,0,0
2020-03-11 12:05:12.927000,11,WhiteHole.SinglePlayer.Touch,Blue Player,70.0,65.0,,1,0,0,0,0,0
2020-03-11 12:05:13.311000,11,WhiteHole.SinglePlayer.Exit,Blue Player,70.0,65.0,,1,0,0,0,0,0
2020-03-11 12:05:13.321000,11,,,,,,0,0,0,0,0,0
2020-03-11 12:05:13.494000,11,WhiteHole.SinglePlayer.Touch,Blue Player,70.0,65.0,,1,0,0,0,0,0
2020-03-11 12:05:15.127100,11,WhiteHole.SinglePlayer.Exit,Blue Player,70.0,65.0,,1,0,0,0,0,0
2020-03-11 12:05:15.137100,11,,,,,,0,0,0,0,0,0
2020-03-11 12:05:27.334800,11,Planet.SinglePlayer.Connection,Red Player,66.0,44.0,6650.0,0,0,0,1,0,0
2020-03-11 12:05:27.701800,11,Planet.SinglePlayer.Exit,Red Player,68.0,47.0,6650.0,0,0,0,1,0,0
