Time,Trial,Event,Player.Color,Position.X,Position.Y,Planet.Id,WhiteHole.Interaction.BluePlayer,WhiteHole.Interaction.RedPlayer,Planet.Interaction.BluePlayer,Planet.Interaction.RedPlayer,Asteroid.Interaction.BluePlayer,Asteroid.Interaction.RedPlayer
2020-03-11 11:19:42.926000,8,Start,,,,,0,0,0,0,0,0
2020-03-11 11:19:47.765300,8,WhiteHole.SinglePlayer.Touch,Blue Player,76.0,56.0,,1,0,0,0,0,0
2020-03-11 11:19:51.255500,8,WhiteHole.SinglePlayer.Trigger,Blue Player,76.0,56.0,,1,0,0,0,0,0
2020-03-11 11:19:51.265500,8,,,,,,0,0,0,0,0,0
2020-03-11 11:19:55.875800,8,Planet.Creation,Red Player,40.0,34.0,5750.0,0,0,0,0,0,0
2020-03-11 11:20:33.400900,8,WhiteHole.SinglePlayer.Touch,Blue Player,56.0,24.0,,1,0,0,0,0,0
2020-03-11 11:20:36.891100,8,WhiteHole.SinglePlayer.Trigger,Blue Player,56.0,24.0,,1,0,0,0,0,0
2020-03-11 11:20:36.901100,8,,,,,,0,0,0,0,0,0
2020-03-11 11:20:39.121200,8,Planet.Creation,Red Player,37.0,44.0,6030.0,0,0,0,0,0,0
2020-03-11 11:20:50.201900,8,WhiteHole.SinglePlayer.Touch,Blue Player,42.0,80.0,,1,0,0,0,0,0
2020-03-11 11:20:53.691100,8,WhiteHole.SinglePlayer.Trigger,Blue Player,42.0,80.0,,1,0,0,0,0,0
2020-03-11 11:20:53.701100,8,,,,,,0,0,0,0,0,0
2020-03-11 11:20:54.136100,8,WhiteHole.SinglePlayer.Touch,Red Player,21.0,43.0,,0,1,0,0,0,0
2020-03-11 11:20:55.808200,8,Planet.Creation,Red Player,24.0,49.0,6362.0,0,1,0,0,0,0
2020-03-11 11:20:56.339200,8,WhiteHole.SinglePlayer.Exit,Red Player,21.0,43.0,,0,1,0,0,0,0
2020-03-11 11:20:56.349200,8,,,,,,0,0,0,0,0,0
2020-03-11 11:20:58.553400,8,WhiteHole.SinglePlayer.Touch,Red Player,21.0,43.0,,0,1,0,0,0,0
2020-03-11 11:20:59.167400,8,WhiteHole.SinglePlayer.Exit,Red Player,21.0,43.0,,0,1,0,0,0,0
2020-03-11 11:20:59.177400,8,,,,,,0,0,0,0,0,0
2020-03-11 11:21:00.475500,8,Planet.SinglePlayer.Connection,Red Player,26.0,48.0,6362.0,0,0,0,1,0,0
2020-03-11 11:21:01.919600,8,WhiteHole.SinglePlayer.Touch,Red Player,21.0,43.0,,0,1,0,1,0,0
2020-03-11 11:21:02.920600,8,WhiteHole.SinglePlayer.Touch,Blue Player,42.0,67.0,,1,1,0,1,0,0
2020-03-11 11:21:05.269700,8,WhiteHole.SinglePlayer.Exit,Red Player,21.0,43.0,,1,1,0,1,0,0
2020-03-11 11:21:05.279700,8,,,,,,1,0,0,1,0,0
2020-03-11 11:21:06.410800,8,WhiteHole.SinglePlayer.Trigger,Blue Player,42.0,67.0,,1,0,0,1,0,0
2020-03-11 11:21:06.420800,8,,,,,,0,0,0,1,0,0
2020-03-11 11:21:07.175900,8,Planet.SinglePlayer.Exit,Red Player,24.0,49.0,6362.0,0,0,0,1,0,0
2020-03-11 11:21:07.185900,8,,,,,,0,0,0,0,0,0
2020-03-11 11:21:08.904000,8,WhiteHole.SinglePlayer.Touch,Red Player,21.0,43.0,,0,1,0,0,0,0
2020-03-11 11:21:09.704000,8,WhiteHole.SinglePlayer.Exit,Red Player,21.0,43.0,,0,1,0,0,0,0
2020-03-11 11:21:09.714000,8,,,,,,0,0,0,0,0,0
2020-03-11 11:21:10.670100,8,WhiteHole.SinglePlayer.Touch,Blue Player,76.0,56.0,,1,0,0,0,0,0
2020-03-11 11:21:14.158300,8,WhiteHole.SinglePlayer.Trigger,Blue Player,76.0,56.0,,1,0,0,0,0,0
2020-03-11 11:21:14.168300,8,,,,,,0,0,0,0,0,0
2020-03-11 11:21:23.071800,8,WhiteHole.SinglePlayer.Touch,Red Player,21.0,43.0,,0,1,0,0,0,0
2020-03-11 11:21:25.003900,8,WhiteHole.SinglePlayer.Exit,Red Player,21.0,43.0,,0,1,0,0,0,0
2020-03-11 11:21:25.013900,8,,,,,,0,0,0,0,0,0
2020-03-11 11:21:25.604900,8,WhiteHole.SinglePlayer.Touch,Red Player,21.0,43.0,,0,1,0,0,0,0
2020-03-11 11:21:25.727900,8,Planet.SinglePlayer.Connection,Blue Player,37.0,28.0,5750.0,0,1,1,0,0,0
2020-03-11 11:21:26.110900,8,Planet.SinglePlayer.Exit,Blue Player,40.0,34.0,5750.0,0,1,1,0,0,0
2020-03-11 11:21:26.120900,8,,,,,,0,1,0,0,0,0
2020-03-11 11:21:26.605000,8,WhiteHole.SinglePlayer.Touch,Blue Player,30.0,17.0,,1,1,0,0,0,0
2020-03-11 11:21:27.487000,8,WhiteHole.SinglePlayer.Exit,Red Player,21.0,43.0,,1,1,0,0,0,0
2020-03-11 11:21:27.497000,8,,,,,,1,0,0,0,0,0
2020-03-11 11:21:28.288100,8,WhiteHole.SinglePlayer.Touch,Red Player,21.0,43.0,,1,1,0,0,0,0
2020-03-11 11:21:30.503200,8,WhiteHole.SinglePlayer.Exit,Red Player,21.0,43.0,,1,1,0,0,0,0
2020-03-11 11:21:30.513200,8,,,,,,1,0,0,0,0,0
2020-03-11 11:21:31.811300,8,WhiteHole.SinglePlayer.Trigger,Blue Player,30.0,17.0,,1,0,0,0,0,0
2020-03-11 11:21:31.821300,8,,,,,,0,0,0,0,0,0
2020-03-11 11:21:38.872700,8,WhiteHole.SinglePlayer.Touch,Blue Player,63.0,72.0,,1,0,0,0,0,0
2020-03-11 11:21:40.660800,8,Planet.SinglePlayer.Connection,Red Player,38.0,35.0,5750.0,1,0,0,1,0,0
2020-03-11 11:21:42.360900,8,WhiteHole.SinglePlayer.Trigger,Blue Player,63.0,72.0,,1,0,0,1,0,0
2020-03-11 11:21:42.370900,8,,,,,,0,0,0,1,0,0
2020-03-11 11:21:43.144900,8,Planet.SinglePlayer.Exit,Red Player,40.0,34.0,5750.0,0,0,0,1,0,0
2020-03-11 11:21:43.154900,8,,,,,,0,0,0,0,0,0
2020-03-11 11:21:43.687900,8,WhiteHole.SinglePlayer.Touch,Red Player,21.0,43.0,,0,1,0,0,0,0
2020-03-11 11:21:44.372000,8,WhiteHole.SinglePlayer.Exit,Red Player,21.0,43.0,,0,1,0,0,0,0
2020-03-11 11:21:44.382000,8,,,,,,0,0,0,0,0,0
2020-03-11 11:21:45.123000,8,WhiteHole.SinglePlayer.Touch,Red Player,21.0,43.0,,0,1,0,0,0,0
2020-03-11 11:21:45.205000,8,WhiteHole.SinglePlayer.Touch,Blue Player,76.0,56.0,,1,1,0,0,0,0
2020-03-11 11:21:46.073100,8,Planet.Creation,Red Player,18.0,42.0,7510.0,1,1,0,0,0,0
2020-03-11 11:21:47.737200,8,WhiteHole.SinglePlayer.Exit,Blue Player,76.0,56.0,,1,1,0,0,0,0
2020-03-11 11:21:47.747200,8,,,,,,0,1,0,0,0,0
2020-03-11 11:21:48.090200,8,WhiteHole.SinglePlayer.Touch,Blue Player,76.0,56.0,,1,1,0,0,0,0
2020-03-11 11:21:50.072300,8,WhiteHole.SinglePlayer.Exit,Red Player,21.0,43.0,,1,1,0,0,0,0
2020-03-11 11:21:50.082300,8,,,,,,1,0,0,0,0,0
2020-03-11 11:21:50.406300,8,WhiteHole.SinglePlayer.Touch,Red Player,21.0,43.0,,1,1,0,0,0,0
2020-03-11 11:21:51.188400,8,WhiteHole.SinglePlayer.Exit,Red Player,21.0,43.0,,1,1,0,0,0,0
2020-03-11 11:21:51.198400,8,,,,,,1,0,0,0,0,0
2020-03-11 11:21:51.271400,8,WhiteHole.SinglePlayer.Exit,Blue Player,76.0,56.0,,1,0,0,0,0,0
2020-03-11 11:21:51.281400,8,,,,,,0,0,0,0,0,0
2020-03-11 11:21:51.640400,8,WhiteHole.SinglePlayer.Touch,Red Player,21.0,43.0,,0,1,0,0,0,0
2020-03-11 11:21:51.672400,8,WhiteHole.SinglePlayer.Touch,Blue Player,76.0,56.0,,1,1,0,0,0,0
2020-03-11 11:21:52.672500,8,WhiteHole.SinglePlayer.Exit,Red Player,21.0,43.0,,1,1,0,0,0,0
2020-03-11 11:21:52.682500,8,,,,,,1,0,0,0,0,0
2020-03-11 11:21:53.190500,8,WhiteHole.SinglePlayer.Touch,Red Player,21.0,43.0,,1,1,0,0,0,0
2020-03-11 11:21:53.971500,8,WhiteHole.SinglePlayer.Exit,Red Player,21.0,43.0,,1,1,0,0,0,0
2020-03-11 11:21:53.981500,8,,,,,,1,0,0,0,0,0
2020-03-11 11:21:54.440600,8,WhiteHole.SinglePlayer.Exit,Blue Player,76.0,56.0,,1,0,0,0,0,0
2020-03-11 11:21:54.450600,8,,,,,,0,0,0,0,0,0
2020-03-11 11:21:54.823600,8,WhiteHole.SinglePlayer.Touch,Blue Player,76.0,56.0,,1,0,0,0,0,0
2020-03-11 11:21:55.771600,8,WhiteHole.SinglePlayer.Exit,Blue Player,76.0,56.0,,1,0,0,0,0,0
2020-03-11 11:21:55.781600,8,,,,,,0,0,0,0,0,0
2020-03-11 11:21:56.724700,8,WhiteHole.SinglePlayer.Touch,Blue Player,76.0,56.0,,1,0,0,0,0,0
2020-03-11 11:21:57.638700,8,WhiteHole.SinglePlayer.Exit,Blue Player,76.0,56.0,,1,0,0,0,0,0
2020-03-11 11:21:57.648700,8,,,,,,0,0,0,0,0,0
2020-03-11 11:21:59.106800,8,WhiteHole.SinglePlayer.Touch,Red Player,21.0,43.0,,0,1,0,0,0,0
2020-03-11 11:21:59.488800,8,WhiteHole.SinglePlayer.Touch,Blue Player,76.0,56.0,,1,1,0,0,0,0
2020-03-11 11:21:59.804900,8,WhiteHole.SinglePlayer.Exit,Red Player,21.0,43.0,,1,1,0,0,0,0
2020-03-11 11:21:59.814900,8,,,,,,1,0,0,0,0,0
2020-03-11 11:22:00.322900,8,WhiteHole.SinglePlayer.Exit,Blue Player,76.0,56.0,,1,0,0,0,0,0
2020-03-11 11:22:00.332900,8,,,,,,0,0,0,0,0,0
2020-03-11 11:22:00.690900,8,WhiteHole.SinglePlayer.Touch,Red Player,21.0,43.0,,0,1,0,0,0,0
2020-03-11 11:22:00.738900,8,WhiteHole.SinglePlayer.Touch,Blue Player,76.0,56.0,,1,1,0,0,0,0
