PlayTime,Trial,Position.X,Position.Y,WhiteHole.BluePlayer.Touch,WhiteHole.RedPlayer.Touch,WhiteHole.BluePlayer.Trigger,WhiteHole.RedPlayer.Trigger,Planet.BluePlayer.Creation,Planet.RedPlayer.Creation,WhiteHole.MultiPlayer.Trigger,Star.Creation,BlackHole.Creation
2020-03-11 09:35:27.639600,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11 09:35:37.027100,1,86,42,0,1,0,0,0,0,0,0,0
2020-03-11 09:35:39.443300,1,54,69,1,1,0,0,0,0,0,0,0
2020-03-11 09:35:42.935500,1,54,69,1,1,1,0,0,0,0,0,0
2020-03-11 09:35:44.601500,1,55,30,1,1,1,0,0,1,0,0,0
2020-03-11 09:35:48.443800,1,17,56,2,1,1,0,0,1,0,0,0
2020-03-11 09:35:50.859900,1,17,56,3,1,1,0,0,1,0,0,0
2020-03-11 09:36:22.845700,1,86,42,3,2,1,0,0,1,0,0,0
2020-03-11 09:36:31.897300,1,42,14,3,3,1,0,0,1,0,0,0
2020-03-11 09:36:35.387500,1,42,14,3,3,1,1,0,1,0,0,0
2020-03-11 09:36:41.980800,1,26,34,4,3,1,1,0,1,0,0,0
2020-03-11 09:36:45.488000,1,26,34,4,3,2,1,0,1,0,0,0
2020-03-11 09:36:48.931200,1,21,46,4,3,2,1,1,1,0,0,0
2020-03-11 09:36:49.115200,1,86,42,4,4,2,1,1,1,0,0,0
2020-03-11 09:36:49.398300,1,17,56,5,4,2,1,1,1,0,0,0
2020-03-11 09:36:53.749500,1,48,46,5,4,2,1,1,2,0,0,0
2020-03-11 09:36:58.981800,1,17,56,6,4,2,1,1,2,0,0,0
2020-03-11 09:36:59.831800,1,17,56,7,4,2,1,1,2,0,0,0
2020-03-11 09:37:03.632100,1,17,56,8,4,2,1,1,2,0,0,0
2020-03-11 09:37:04.899100,1,17,56,9,4,2,1,1,2,0,0,0
2020-03-11 09:37:06.783200,1,17,56,10,4,2,1,1,2,0,0,0
2020-03-11 09:37:10.599500,1,17,56,11,4,2,1,1,2,0,0,0
2020-03-11 09:38:08.369800,1,75,66,12,4,2,1,1,2,0,0,0
2020-03-11 09:38:08.987800,1,75,66,13,4,2,1,1,2,0,0,0
2020-03-11 09:38:10.820900,1,75,66,14,4,2,1,1,2,0,0,0
2020-03-11 09:38:54.707400,1,66,24,14,5,2,1,1,2,0,0,0
2020-03-11 09:39:01.774800,1,17,56,14,6,2,1,1,2,0,0,0
2020-03-11 09:39:07.625200,1,17,56,14,7,2,1,1,2,0,0,0
2020-03-11 09:39:35.209700,1,17,56,14,8,2,1,1,2,0,0,0
2020-03-11 09:39:37.026800,1,17,56,14,9,2,1,1,2,0,0,0
2020-03-11 09:39:48.644500,1,66,24,15,9,2,1,1,2,0,0,0
2020-03-11 09:40:02.095300,1,75,66,15,10,2,1,1,2,0,0,0
2020-03-11 09:40:05.584500,1,75,66,15,10,2,2,1,2,0,0,0
2020-03-11 09:40:35.781200,1,66,24,16,10,2,2,1,2,0,0,0
2020-03-11 09:40:39.270400,1,66,24,16,10,3,2,1,2,0,0,0
2020-03-11 09:40:40.616500,1,44,47,16,10,3,2,1,3,0,0,0
2020-03-11 09:41:56.553800,1,17,56,16,11,3,2,1,3,0,0,0
2020-03-11 09:42:05.737300,1,42,14,16,12,3,2,1,3,0,0,0
2020-03-11 09:42:09.226500,1,42,14,16,12,3,3,1,3,0,0,0
2020-03-11 09:42:41.756400,1,32,77,16,13,3,3,1,3,0,0,0
2020-03-11 09:42:58.225300,1,32,77,17,13,3,3,1,3,0,0,0
2020-03-11 09:43:01.713500,1,32,77,17,13,4,3,1,3,0,0,0
2020-03-11 09:44:14.663700,1,32,77,17,14,4,3,1,3,0,0,0
2020-03-11 09:44:18.153900,1,32,77,17,14,4,4,1,3,0,0,0
2020-03-11 09:44:26.332400,1,52,58,17,14,4,4,2,3,0,0,0
2020-03-11 09:45:16.268200,1,32,77,17,15,4,4,2,3,0,0,0
