PlayTime,Trial,Position.X,Position.Y,WhiteHole.BluePlayer.Touch,WhiteHole.RedPlayer.Touch,WhiteHole.BluePlayer.Trigger,WhiteHole.RedPlayer.Trigger,Planet.BluePlayer.Creation,Planet.RedPlayer.Creation,WhiteHole.MultiPlayer.Trigger,Star.Creation,BlackHole.Creation
2020-03-11 10:05:24.569600,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11 10:05:38.107400,3,89,55,1,0,0,0,0,0,0,0,0
2020-03-11 10:05:41.607600,3,54,20,1,1,0,0,0,0,0,0,0
2020-03-11 10:05:44.256800,3,54,20,2,1,0,0,0,0,0,0,0
2020-03-11 10:05:56.758500,3,24,46,2,2,0,0,0,0,0,0,0
2020-03-11 10:05:58.775600,3,89,55,3,2,0,0,0,0,0,0,0
2020-03-11 10:06:04.758900,3,45,85,3,3,0,0,0,0,0,0,0
2020-03-11 10:06:11.959400,3,24,46,4,3,0,0,0,0,0,0,0
2020-03-11 10:06:15.926600,3,89,55,4,4,0,0,0,0,0,0,0
2020-03-11 10:06:18.592700,3,54,20,5,4,0,0,0,0,0,0,0
2020-03-11 10:06:30.927400,3,54,20,5,5,0,0,0,0,0,0,0
2020-03-11 10:06:34.419600,3,54,20,5,5,0,1,0,0,0,0,0
2020-03-11 10:06:35.744700,3,45,85,6,5,0,1,0,0,0,0,0
2020-03-11 10:06:37.411800,3,45,85,7,5,0,1,0,0,0,0,0
2020-03-11 10:06:37.488800,3,51,77,7,5,0,1,1,0,0,0,0
2020-03-11 10:06:44.712200,3,24,46,8,5,0,1,1,0,0,0,0
2020-03-11 10:06:46.945400,3,24,46,9,5,0,1,1,0,0,0,0
2020-03-11 10:06:47.254400,3,24,46,10,5,0,1,1,0,0,0,0
2020-03-11 10:06:47.895400,3,24,46,11,5,0,1,1,0,0,0,0
2020-03-11 10:06:49.128500,3,24,46,12,5,0,1,1,0,0,0,0
2020-03-11 10:06:49.546500,3,24,46,13,5,0,1,1,0,0,0,0
2020-03-11 10:06:50.328600,3,24,46,14,5,0,1,1,0,0,0,0
2020-03-11 10:06:53.679700,3,89,55,14,6,0,1,1,0,0,0,0
2020-03-11 10:06:57.228900,3,45,85,15,6,0,1,1,0,0,0,0
2020-03-11 10:07:00.596100,3,54,20,15,7,0,1,1,0,0,0,0
2020-03-11 10:07:04.980400,3,89,55,16,7,0,1,1,0,0,0,0
2020-03-11 10:07:05.246400,3,89,55,17,7,0,1,1,0,0,0,0
2020-03-11 10:07:05.796400,3,24,46,17,8,0,1,1,0,0,0,0
2020-03-11 10:07:09.304600,3,24,46,17,8,0,2,1,0,0,0,0
2020-03-11 10:07:11.549800,3,63,66,17,8,0,2,2,0,0,0,0
2020-03-11 10:07:16.431000,3,45,85,18,8,0,2,2,0,0,0,0
2020-03-11 10:07:23.464400,3,89,55,18,9,0,2,2,0,0,0,0
2020-03-11 10:07:26.147600,3,54,20,19,9,0,2,2,0,0,0,0
2020-03-11 10:07:29.164800,3,54,20,20,9,0,2,2,0,0,0,0
2020-03-11 10:07:32.675000,3,89,55,20,9,0,3,2,0,0,0,0
2020-03-11 10:07:34.502100,3,52,24,20,9,0,3,3,0,0,0,0
2020-03-11 10:07:39.265300,3,26,68,20,10,0,3,3,0,0,0,0
2020-03-11 10:07:42.756500,3,26,68,20,10,0,4,3,0,0,0,0
