PlayTime,Trial,Position.X,Position.Y,WhiteHole.BluePlayer.Touch,WhiteHole.RedPlayer.Touch,WhiteHole.BluePlayer.Trigger,WhiteHole.RedPlayer.Trigger,Planet.BluePlayer.Creation,Planet.RedPlayer.Creation,WhiteHole.MultiPlayer.Trigger,Star.Creation,BlackHole.Creation
2020-03-11 09:51:42.522400,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11 09:51:49.513800,2,56,81,0,1,0,0,0,0,0,0,0
2020-03-11 09:51:53.006000,2,56,81,0,1,0,1,0,0,0,0,0
2020-03-11 09:52:00.214500,2,83,43,0,2,0,1,0,0,0,0,0
2020-03-11 09:52:01.947600,2,43,15,1,2,0,1,0,0,0,0,0
2020-03-11 09:52:03.014600,2,83,43,1,3,0,1,0,0,0,0,0
2020-03-11 09:52:06.522800,2,43,15,1,3,1,1,0,0,0,0,0
2020-03-11 09:52:08.640900,2,71,50,1,3,1,1,0,1,0,0,0
2020-03-11 09:52:12.465200,2,83,43,1,4,1,1,0,1,0,0,0
2020-03-11 09:52:13.315200,2,15,56,2,4,1,1,0,1,0,0,0
2020-03-11 09:52:15.082300,2,15,56,3,4,1,1,0,1,0,0,0
2020-03-11 09:52:16.982400,2,15,56,4,4,1,1,0,1,0,0,0
2020-03-11 09:52:17.715500,2,83,43,4,5,1,1,0,1,0,0,0
2020-03-11 09:52:19.745600,2,54,68,4,5,1,1,1,1,0,0,0
2020-03-11 09:52:25.949900,2,83,43,4,6,1,1,1,1,0,0,0
2020-03-11 09:52:40.249800,2,56,81,4,7,1,1,1,1,0,0,0
2020-03-11 09:52:47.835200,2,56,81,4,8,1,1,1,1,0,0,0
2020-03-11 09:52:51.324400,2,56,81,4,8,1,2,1,1,0,0,0
2020-03-11 09:52:54.185500,2,15,56,4,9,1,2,1,1,0,0,0
2020-03-11 09:52:54.651600,2,43,15,5,9,1,2,1,1,0,0,0
2020-03-11 09:52:57.468700,2,15,56,5,10,1,2,1,1,0,0,0
2020-03-11 09:53:00.959900,2,15,56,5,10,1,3,1,1,0,0,0
2020-03-11 09:53:11.302500,2,72,16,6,10,1,3,1,1,0,0,0
2020-03-11 09:53:15.103700,2,72,16,7,10,1,3,1,1,0,0,0
2020-03-11 09:53:17.069900,2,72,16,8,10,1,3,1,1,0,0,0
2020-03-11 09:53:20.561100,2,72,16,8,10,2,3,1,1,0,0,0
2020-03-11 09:53:22.853200,2,83,43,9,10,2,3,1,1,0,0,0
2020-03-11 09:53:23.966300,2,75,43,9,10,2,3,2,1,0,0,0
2020-03-11 09:53:26.777400,2,83,43,9,10,3,3,2,1,0,0,0
2020-03-11 09:53:35.601900,2,49,63,9,10,3,3,2,2,0,0,0
2020-03-11 09:53:40.956200,2,72,16,9,11,3,3,2,2,0,0,0
2020-03-11 09:53:47.421600,2,15,56,10,11,3,3,2,2,0,0,0
2020-03-11 09:54:23.641700,2,43,15,11,11,3,3,2,2,0,0,0
2020-03-11 09:54:24.807700,2,43,15,12,11,3,3,2,2,0,0,0
2020-03-11 09:54:28.297900,2,43,15,12,11,4,3,2,2,0,0,0
2020-03-11 09:54:31.076100,2,48,54,12,11,4,3,2,3,0,0,0
2020-03-11 09:54:44.425900,2,83,43,12,12,4,3,2,3,0,0,0
2020-03-11 09:54:45.825900,2,72,16,13,12,4,3,2,3,0,0,0
2020-03-11 09:54:47.915100,2,83,43,13,12,4,4,2,3,0,0,0
2020-03-11 09:54:49.332100,2,72,16,13,12,5,4,2,3,0,0,0
2020-03-11 09:54:51.394300,2,84,41,13,12,5,4,2,4,0,0,0
2020-03-11 09:54:57.893600,2,15,56,13,13,5,4,2,4,0,0,0
2020-03-11 09:54:58.511700,2,71,33,13,13,5,4,3,4,0,0,0
2020-03-11 09:55:01.382800,2,15,56,13,13,5,5,3,4,0,0,0
2020-03-11 09:55:11.795400,2,53,60,13,13,5,5,4,4,0,0,0
2020-03-11 09:55:15.311600,2,72,16,13,14,5,5,4,4,0,0,0
2020-03-11 09:55:18.144800,2,37,68,14,14,5,5,4,4,0,0,0
