PlayTime,Trial,Position.X,Position.Y,WhiteHole.BluePlayer.Touch,WhiteHole.RedPlayer.Touch,WhiteHole.BluePlayer.Trigger,WhiteHole.RedPlayer.Trigger,Planet.BluePlayer.Creation,Planet.RedPlayer.Creation,WhiteHole.MultiPlayer.Trigger,Star.Creation,BlackHole.Creation
2020-03-11 11:19:42.926000,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11 11:19:47.765300,8,76,56,1,0,0,0,0,0,0,0,0
2020-03-11 11:19:51.255500,8,76,56,1,0,1,0,0,0,0,0,0
2020-03-11 11:19:55.875800,8,40,34,1,0,1,0,0,1,0,0,0
2020-03-11 11:20:33.400900,8,56,24,2,0,1,0,0,1,0,0,0
2020-03-11 11:20:36.891100,8,56,24,2,0,2,0,0,1,0,0,0
2020-03-11 11:20:39.121200,8,37,44,2,0,2,0,0,2,0,0,0
2020-03-11 11:20:50.201900,8,42,80,3,0,2,0,0,2,0,0,0
2020-03-11 11:20:53.691100,8,42,80,3,0,3,0,0,2,0,0,0
2020-03-11 11:20:54.136100,8,21,43,3,1,3,0,0,2,0,0,0
2020-03-11 11:20:55.808200,8,24,49,3,1,3,0,0,3,0,0,0
2020-03-11 11:20:58.553400,8,21,43,3,2,3,0,0,3,0,0,0
2020-03-11 11:21:01.919600,8,21,43,3,3,3,0,0,3,0,0,0
2020-03-11 11:21:02.920600,8,42,67,4,3,3,0,0,3,0,0,0
2020-03-11 11:21:06.410800,8,42,67,4,3,4,0,0,3,0,0,0
2020-03-11 11:21:08.904000,8,21,43,4,4,4,0,0,3,0,0,0
2020-03-11 11:21:10.670100,8,76,56,5,4,4,0,0,3,0,0,0
2020-03-11 11:21:14.158300,8,76,56,5,4,5,0,0,3,0,0,0
2020-03-11 11:21:23.071800,8,21,43,5,5,5,0,0,3,0,0,0
2020-03-11 11:21:25.604900,8,21,43,5,6,5,0,0,3,0,0,0
2020-03-11 11:21:26.605000,8,30,17,6,6,5,0,0,3,0,0,0
2020-03-11 11:21:28.288100,8,21,43,6,7,5,0,0,3,0,0,0
2020-03-11 11:21:31.811300,8,30,17,6,7,6,0,0,3,0,0,0
2020-03-11 11:21:38.872700,8,63,72,7,7,6,0,0,3,0,0,0
2020-03-11 11:21:42.360900,8,63,72,7,7,7,0,0,3,0,0,0
2020-03-11 11:21:43.687900,8,21,43,7,8,7,0,0,3,0,0,0
2020-03-11 11:21:45.123000,8,21,43,7,9,7,0,0,3,0,0,0
2020-03-11 11:21:45.205000,8,76,56,8,9,7,0,0,3,0,0,0
2020-03-11 11:21:46.073100,8,18,42,8,9,7,0,0,4,0,0,0
2020-03-11 11:21:48.090200,8,76,56,9,9,7,0,0,4,0,0,0
2020-03-11 11:21:50.406300,8,21,43,9,10,7,0,0,4,0,0,0
2020-03-11 11:21:51.640400,8,21,43,9,11,7,0,0,4,0,0,0
2020-03-11 11:21:51.672400,8,76,56,10,11,7,0,0,4,0,0,0
2020-03-11 11:21:53.190500,8,21,43,10,12,7,0,0,4,0,0,0
2020-03-11 11:21:54.823600,8,76,56,11,12,7,0,0,4,0,0,0
2020-03-11 11:21:56.724700,8,76,56,12,12,7,0,0,4,0,0,0
2020-03-11 11:21:59.106800,8,21,43,12,13,7,0,0,4,0,0,0
2020-03-11 11:21:59.488800,8,76,56,13,13,7,0,0,4,0,0,0
2020-03-11 11:22:00.690900,8,21,43,13,14,7,0,0,4,0,0,0
2020-03-11 11:22:00.738900,8,76,56,14,14,7,0,0,4,0,0,0
2020-03-11 11:22:03.841100,8,21,43,14,15,7,0,0,4,0,0,0
2020-03-11 11:22:09.541400,8,76,56,15,15,7,0,0,4,0,0,0
2020-03-11 11:22:09.857400,8,30,17,15,16,7,0,0,4,0,0,0
2020-03-11 11:22:11.708500,8,42,80,16,16,7,0,0,4,0,0,0
2020-03-11 11:22:13.558700,8,30,17,16,17,7,0,0,4,0,0,0
2020-03-11 11:22:16.941800,8,21,43,16,18,7,0,0,4,0,0,0
2020-03-11 11:22:17.191900,8,42,80,17,18,7,0,0,4,0,0,0
2020-03-11 11:22:20.681100,8,42,80,17,18,8,0,0,4,0,0,0
2020-03-11 11:22:26.426400,8,36,48,17,18,8,0,0,5,0,0,0
2020-03-11 11:22:28.892500,8,76,56,18,18,8,0,0,5,0,0,0
2020-03-11 11:22:32.380700,8,76,56,18,18,9,0,0,5,0,0,0
2020-03-11 11:22:34.314800,8,61,44,18,18,9,0,0,6,0,0,0
2020-03-11 11:22:42.393300,8,22,66,19,18,9,0,0,6,0,0,0
2020-03-11 11:22:45.881500,8,22,66,19,18,10,0,0,6,0,0,0
2020-03-11 11:22:46.943600,8,21,43,19,19,10,0,0,6,0,0,0
2020-03-11 11:22:54.027000,8,30,17,20,19,10,0,0,6,0,0,0
2020-03-11 11:22:56.612100,8,17,60,20,19,10,0,0,7,0,0,0
2020-03-11 11:22:57.518200,8,30,17,20,19,11,0,0,7,0,0,0
2020-03-11 11:23:01.745400,8,21,43,21,19,11,0,0,7,0,0,0
2020-03-11 11:23:04.546600,8,21,43,22,19,11,0,0,7,0,0,0
2020-03-11 11:23:04.827600,8,76,56,22,20,11,0,0,7,0,0,0
2020-03-11 11:23:08.351800,8,21,43,22,20,12,0,0,7,0,0,0
2020-03-11 11:23:17.446300,8,76,56,23,20,12,0,0,7,0,0,0
2020-03-11 11:23:20.952500,8,76,56,23,20,13,0,0,7,0,0,0
2020-03-11 11:23:22.216600,8,66,34,23,20,13,0,0,8,0,0,0
2020-03-11 11:23:25.330800,8,63,72,24,20,13,0,0,8,0,0,0
2020-03-11 11:23:27.113900,8,63,72,25,20,13,0,0,8,0,0,0
2020-03-11 11:23:30.619100,8,63,72,25,20,14,0,0,8,0,0,0
2020-03-11 11:23:32.847200,8,22,66,25,21,14,0,0,8,0,0,0
2020-03-11 11:23:33.430200,8,42,80,26,21,14,0,0,8,0,0,0
2020-03-11 11:23:35.630300,8,22,66,26,22,14,0,0,8,0,0,0
2020-03-11 11:23:36.937400,8,42,80,26,22,15,0,0,8,0,0,0
2020-03-11 11:23:43.514800,8,22,66,27,22,15,0,0,8,0,0,0
2020-03-11 11:23:47.003000,8,22,66,27,22,16,0,0,8,0,0,0
2020-03-11 11:23:53.633400,8,34,56,27,22,16,0,0,9,0,0,0
2020-03-11 11:23:53.637400,8,150,150,27,22,16,0,0,10,0,0,0
2020-03-11 11:23:56.232500,8,76,56,28,22,16,0,0,10,0,0,0
2020-03-11 11:23:59.737700,8,76,56,28,22,17,0,0,10,0,0,0
2020-03-11 11:24:01.181800,8,42,80,28,23,17,0,0,10,0,0,0
2020-03-11 11:24:03.132900,8,42,80,28,24,17,0,0,10,0,0,0
2020-03-11 11:24:04.551000,8,41,77,28,24,17,0,0,11,0,0,0
2020-03-11 11:24:05.934100,8,56,24,29,24,17,0,0,11,0,0,0
2020-03-11 11:24:09.421300,8,56,24,29,24,18,0,0,11,0,0,0
2020-03-11 11:24:15.049600,8,30,17,30,24,18,0,0,11,0,0,0
2020-03-11 11:24:15.684600,8,52,34,30,24,18,0,0,12,0,0,0
2020-03-11 11:24:17.233700,8,30,17,31,24,18,0,0,12,0,0,0
2020-03-11 11:24:28.952400,8,63,72,32,24,18,0,0,12,0,0,0
2020-03-11 11:24:32.440600,8,63,72,32,24,19,0,0,12,0,0,0
2020-03-11 11:24:37.318900,8,42,80,33,24,19,0,0,12,0,0,0
2020-03-11 11:24:40.802100,8,42,80,34,24,19,0,0,12,0,0,0
2020-03-11 11:24:44.435300,8,42,80,35,24,19,0,0,12,0,0,0
2020-03-11 11:24:46.652400,8,22,66,36,24,19,0,0,12,0,0,0
2020-03-11 11:24:50.669600,8,22,66,37,24,19,0,0,12,0,0,0
2020-03-11 11:25:01.070200,8,30,17,38,24,19,0,0,12,0,0,0
2020-03-11 11:25:03.186400,8,30,17,39,24,19,0,0,12,0,0,0
2020-03-11 11:25:06.680600,8,30,17,39,24,20,0,0,12,0,0,0
2020-03-11 11:25:08.086600,8,42,80,39,25,20,0,0,12,0,0,0
2020-03-11 11:25:10.221800,8,42,80,39,26,20,0,0,12,0,0,0
2020-03-11 11:25:14.755000,8,76,56,40,26,20,0,0,12,0,0,0
2020-03-11 11:25:16.755100,8,76,56,41,26,20,0,0,12,0,0,0
2020-03-11 11:25:28.905800,8,42,80,42,26,20,0,0,12,0,0,0
2020-03-11 11:25:32.973100,8,22,66,43,26,20,0,0,12,0,0,0
2020-03-11 11:25:33.773100,8,22,66,44,26,20,0,0,12,0,0,0
2020-03-11 11:25:43.740700,8,30,17,45,26,20,0,0,12,0,0,0
2020-03-11 11:25:47.228900,8,30,17,45,26,21,0,0,12,0,0,0
2020-03-11 11:25:50.074000,8,50,57,45,26,21,0,0,13,0,0,0
2020-03-11 11:26:08.276100,8,42,80,45,27,21,0,0,13,0,0,0
2020-03-11 11:26:26.693100,8,76,56,45,28,21,0,0,13,0,0,0
2020-03-11 11:26:38.727800,8,30,17,46,28,21,0,0,13,0,0,0
