PlayTime,Trial,Position.X,Position.Y,WhiteHole.BluePlayer.Touch,WhiteHole.RedPlayer.Touch,WhiteHole.BluePlayer.Trigger,WhiteHole.RedPlayer.Trigger,Planet.BluePlayer.Creation,Planet.RedPlayer.Creation,WhiteHole.MultiPlayer.Trigger,Star.Creation,BlackHole.Creation
2020-03-11 10:17:56.400300,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11 10:18:07.828900,4,60,80,1,0,0,0,0,0,0,0,0
2020-03-11 10:18:11.338100,4,60,80,1,0,1,0,0,0,0,0,0
2020-03-11 10:18:13.004200,4,56,78,1,0,1,0,0,1,0,0,0
2020-03-11 10:18:17.046400,4,19,60,1,1,1,0,0,1,0,0,0
2020-03-11 10:18:29.231100,4,77,40,2,1,1,0,0,1,0,0,0
2020-03-11 10:18:54.249600,4,19,60,3,1,1,0,0,1,0,0,0
2020-03-11 10:18:56.266700,4,19,60,4,1,1,0,0,1,0,0,0
2020-03-11 10:19:14.200700,4,27,38,5,1,1,0,0,1,0,0,0
2020-03-11 10:19:24.151300,4,27,38,6,1,1,0,0,1,0,0,0
2020-03-11 10:19:25.368300,4,19,60,7,1,1,0,0,1,0,0,0
2020-03-11 10:19:27.917500,4,77,40,7,2,1,0,0,1,0,0,0
2020-03-11 10:19:29.387600,4,19,60,8,2,1,0,0,1,0,0,0
2020-03-11 10:19:31.085700,4,19,60,9,2,1,0,0,1,0,0,0
2020-03-11 10:19:32.902800,4,77,40,9,3,1,0,0,1,0,0,0
2020-03-11 10:19:32.984800,4,19,60,10,3,1,0,0,1,0,0,0
2020-03-11 10:19:35.503900,4,27,38,11,3,1,0,0,1,0,0,0
2020-03-11 10:19:37.770100,4,27,38,12,3,1,0,0,1,0,0,0
2020-03-11 10:19:45.686500,4,27,38,13,3,1,0,0,1,0,0,0
2020-03-11 10:19:58.571200,4,27,38,14,3,1,0,0,1,0,0,0
2020-03-11 10:20:02.787500,4,38,15,15,3,1,0,0,1,0,0,0
2020-03-11 10:20:14.772200,4,77,40,16,3,1,0,0,1,0,0,0
2020-03-11 10:20:16.072200,4,77,40,17,3,1,0,0,1,0,0,0
2020-03-11 10:20:21.989600,4,27,38,18,3,1,0,0,1,0,0,0
2020-03-11 10:20:22.137600,4,77,40,18,4,1,0,0,1,0,0,0
2020-03-11 10:20:24.505700,4,19,60,19,4,1,0,0,1,0,0,0
2020-03-11 10:20:27.995900,4,19,60,19,4,2,0,0,1,0,0,0
2020-03-11 10:20:28.010900,4,77,40,19,4,2,1,0,1,0,0,0
2020-03-11 10:20:28.025900,4,48,50,19,4,2,1,0,1,1,0,0
2020-03-11 10:20:40.690700,4,38,15,19,5,2,1,0,1,1,0,0
2020-03-11 10:20:42.122700,4,27,38,20,5,2,1,0,1,1,0,0
2020-03-11 10:20:45.424900,4,27,38,21,5,2,1,0,1,1,0,0
2020-03-11 10:20:48.341100,4,27,38,22,5,2,1,0,1,1,0,0
2020-03-11 10:20:51.829300,4,27,38,22,5,3,1,0,1,1,0,0
2020-03-11 10:20:51.846300,4,38,15,22,5,3,2,0,1,1,0,0
2020-03-11 10:20:51.886300,4,32,27,22,5,3,2,0,1,1,1,0
2020-03-11 10:21:08.060200,4,85,67,22,6,3,2,0,1,1,1,0
2020-03-11 10:21:10.392400,4,60,80,23,6,3,2,0,1,1,1,0
2020-03-11 10:21:13.880600,4,60,80,23,6,4,2,0,1,1,1,0
2020-03-11 10:21:13.899600,4,85,67,23,6,4,3,0,1,1,1,0
2020-03-11 10:21:13.909600,4,72,74,23,6,4,3,0,1,2,1,0
2020-03-11 10:21:22.613100,4,41,56,23,6,4,3,1,1,2,1,0
2020-03-11 10:21:31.279600,4,75,48,23,6,4,3,1,2,2,1,0
2020-03-11 10:21:34.061700,4,27,38,24,6,4,3,1,2,2,1,0
2020-03-11 10:21:35.511800,4,27,38,25,6,4,3,1,2,2,1,0
2020-03-11 10:21:38.999000,4,27,38,25,6,5,3,1,2,2,1,0
2020-03-11 10:21:41.628100,4,38,15,25,7,5,3,1,2,2,1,0
2020-03-11 10:21:45.117300,4,38,15,25,7,5,4,1,2,2,1,0
2020-03-11 10:21:54.878900,4,85,67,26,7,5,4,1,2,2,1,0
2020-03-11 10:21:56.730000,4,85,67,27,7,5,4,1,2,2,1,0
2020-03-11 10:22:00.248200,4,85,67,27,7,6,4,1,2,2,1,0
2020-03-11 10:22:06.380600,4,34,80,27,8,6,4,1,2,2,1,0
2020-03-11 10:22:09.869800,4,34,80,27,8,6,5,1,2,2,1,0
2020-03-11 10:22:27.398800,4,19,60,27,9,6,5,1,2,2,1,0
2020-03-11 10:22:30.889000,4,19,60,27,9,6,6,1,2,2,1,0
2020-03-11 10:22:51.951200,4,27,38,28,9,6,6,1,2,2,1,0
2020-03-11 10:22:53.417200,4,38,15,28,10,6,6,1,2,2,1,0
2020-03-11 10:22:54.451300,4,38,15,28,11,6,6,1,2,2,1,0
2020-03-11 10:22:57.956500,4,27,38,28,11,7,6,1,2,2,1,0
2020-03-11 10:22:57.961500,4,38,15,28,11,7,7,1,2,2,1,0
2020-03-11 10:22:57.968500,4,32,26,28,11,7,7,1,2,3,1,0
2020-03-11 10:23:07.387000,4,36,27,28,11,7,7,2,2,3,1,0
2020-03-11 10:23:15.801500,4,85,67,28,12,7,7,2,2,3,1,0
2020-03-11 10:23:19.290700,4,85,67,28,12,7,8,2,2,3,1,0
2020-03-11 10:23:27.103200,4,56,61,28,12,7,8,3,2,3,1,0
2020-03-11 10:24:12.772800,4,60,28,29,12,7,8,3,2,3,1,0
2020-03-11 10:24:15.806000,4,60,28,29,13,7,8,3,2,3,1,0
2020-03-11 10:24:16.873000,4,60,28,30,13,7,8,3,2,3,1,0
2020-03-11 10:24:20.723200,4,60,28,31,13,7,8,3,2,3,1,0
2020-03-11 10:24:24.227400,4,60,28,31,13,8,8,3,2,3,1,0
2020-03-11 10:24:31.841900,4,52,52,31,13,8,8,3,3,3,1,0
2020-03-11 10:24:37.642200,4,34,80,31,14,8,8,3,3,3,1,0
2020-03-11 10:24:41.130400,4,34,80,31,14,8,9,3,3,3,1,0
2020-03-11 10:24:41.757400,4,60,80,32,14,8,9,3,3,3,1,0
2020-03-11 10:24:45.245600,4,60,80,32,14,9,9,3,3,3,1,0
2020-03-11 10:24:46.958700,4,33,82,32,14,9,9,3,4,3,1,0
2020-03-11 10:25:15.227400,4,38,15,33,14,9,9,3,4,3,1,0
