Time,Event,Player.Color,Particle.Type,WhiteHole.Position.X,WhiteHole.Position.Y,Particle.Count,Planet.Id,Planet.Core,Planet.Position.X,Planet.Position.Y,Asteroid.Id,Asteroid.Position.X,Asteroid.Position.Y,Trial Id,Particle.1.Type,Particle.2.Type,WhiteHole.1.Position.X,WhiteHole.1.Position.Y,WhiteHole.2.Position.X,WhiteHole.2.Position.Y,Star.Id,Star.Orbit.Count,Star.Position.X,Star.Position.Y,Planet.Count,BlackHole.Id,BlackHole.Position.X,BlackHole.Position.Y,Object.Id
2020/03/11 10:25:44.5510,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"26,47473","63,7274",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.5550,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"22,83576","59,71524",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.5650,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"27,31569","59,7259",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.5690,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"26,5147","63,7741",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.5720,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"22,78601","59,72021",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.5820,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"27,26545","59,73178",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.5860,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"26,55551","63,82178",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.5900,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"22,73626","59,72519",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.6020,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"27,16349","59,74372",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.6060,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"26,68623","63,90171",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.6100,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"22,68651","59,73016",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.6200,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"27,13059","59,74758",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.6240,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"26,6085","63,88467",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.6290,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"22,63676","59,73514",4,,,,,,,,,,,,,,,
