Time,Player.Color,Position.X,Position.Y,Pos
2020/03/11 09:35:28.6456,Blue Player,35,48,(35+48j)
2020/03/11 09:35:28.6586,Red Player,41,43,(41+43j)
2020/03/11 09:35:28.6626,Blue Player,35,48,(35+48j)
2020/03/11 09:35:28.6756,Red Player,41,43,(41+43j)
2020/03/11 09:35:28.6776,Blue Player,35,48,(35+48j)
2020/03/11 09:35:28.6916,Red Player,41,43,(41+43j)
2020/03/11 09:35:28.6956,Blue Player,35,48,(35+48j)
2020/03/11 09:35:28.7086,Red Player,41,43,(41+43j)
2020/03/11 09:35:28.7116,Blue Player,35,48,(35+48j)
2020/03/11 09:35:28.7246,Red Player,40,43,(40+43j)
2020/03/11 09:35:28.7286,Blue Player,35,48,(35+48j)
2020/03/11 09:35:28.7426,Red Player,40,42,(40+42j)
2020/03/11 09:35:28.7456,Blue Player,35,48,(35+48j)
2020/03/11 09:35:28.7586,Red Player,40,42,(40+42j)
2020/03/11 09:35:28.7626,Blue Player,35,48,(35+48j)
2020/03/11 09:35:28.7756,Red Player,40,42,(40+42j)
2020/03/11 09:35:28.7786,Blue Player,35,47,(35+47j)
2020/03/11 09:35:28.7916,Red Player,40,42,(40+42j)
2020/03/11 09:35:28.7956,Blue Player,35,47,(35+47j)
2020/03/11 09:35:28.8086,Red Player,40,42,(40+42j)
2020/03/11 09:35:28.8106,Blue Player,35,47,(35+47j)
2020/03/11 09:35:28.8256,Red Player,40,42,(40+42j)
2020/03/11 09:35:28.8286,Blue Player,35,47,(35+47j)
2020/03/11 09:35:28.8426,Red Player,40,42,(40+42j)
2020/03/11 09:35:28.8456,Blue Player,35,47,(35+47j)
2020/03/11 09:35:28.8586,Red Player,40,42,(40+42j)
2020/03/11 09:35:28.8616,Blue Player,35,47,(35+47j)
2020/03/11 09:35:28.8756,Red Player,39,42,(39+42j)
2020/03/11 09:35:28.8786,Blue Player,35,47,(35+47j)
2020/03/11 09:35:28.8916,Red Player,39,41,(39+41j)
2020/03/11 09:35:28.8956,Blue Player,35,47,(35+47j)
2020/03/11 09:35:28.9086,Red Player,39,41,(39+41j)
2020/03/11 09:35:28.9116,Blue Player,35,47,(35+47j)
2020/03/11 09:35:28.9256,Red Player,39,41,(39+41j)
2020/03/11 09:35:28.9286,Blue Player,35,47,(35+47j)
2020/03/11 09:35:28.9417,Red Player,39,41,(39+41j)
2020/03/11 09:35:28.9447,Blue Player,35,47,(35+47j)
2020/03/11 09:35:28.9587,Red Player,39,41,(39+41j)
2020/03/11 09:35:28.9617,Blue Player,35,47,(35+47j)
2020/03/11 09:35:28.9757,Red Player,39,41,(39+41j)
2020/03/11 09:35:28.9777,Blue Player,35,47,(35+47j)
2020/03/11 09:35:28.9917,Red Player,39,41,(39+41j)
2020/03/11 09:35:28.9957,Blue Player,35,47,(35+47j)
2020/03/11 09:35:29.0087,Red Player,39,41,(39+41j)
2020/03/11 09:35:29.0127,Blue Player,35,47,(35+47j)
2020/03/11 09:35:29.0257,Red Player,39,41,(39+41j)
2020/03/11 09:35:29.0277,Blue Player,35,47,(35+47j)
2020/03/11 09:35:29.0427,Red Player,39,41,(39+41j)
2020/03/11 09:35:29.0467,Blue Player,35,47,(35+47j)
2020/03/11 09:35:29.0587,Red Player,39,41,(39+41j)
2020/03/11 09:35:29.0637,Blue Player,35,47,(35+47j)
2020/03/11 09:35:29.0747,Red Player,39,41,(39+41j)
2020/03/11 09:35:29.0787,Blue Player,35,47,(35+47j)
2020/03/11 09:35:29.0927,Red Player,39,41,(39+41j)
2020/03/11 09:35:29.0957,Blue Player,35,48,(35+48j)
2020/03/11 09:35:29.1087,Red Player,39,41,(39+41j)
2020/03/11 09:35:29.1117,Blue Player,35,48,(35+48j)
2020/03/11 09:35:29.1257,Red Player,39,41,(39+41j)
2020/03/11 09:35:29.1297,Blue Player,35,47,(35+47j)
2020/03/11 09:35:29.1427,Red Player,39,41,(39+41j)
2020/03/11 09:35:29.1457,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.1587,Red Player,40,41,(40+41j)
2020/03/11 09:35:29.1617,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.1757,Red Player,40,41,(40+41j)
2020/03/11 09:35:29.1797,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.1917,Red Player,40,41,(40+41j)
2020/03/11 09:35:29.1957,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.2087,Red Player,40,42,(40+42j)
2020/03/11 09:35:29.2127,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.2257,Red Player,40,42,(40+42j)
2020/03/11 09:35:29.2287,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.2427,Red Player,40,42,(40+42j)
2020/03/11 09:35:29.2457,Blue Player,34,48,(34+48j)
2020/03/11 09:35:29.2587,Red Player,40,42,(40+42j)
2020/03/11 09:35:29.2627,Blue Player,34,48,(34+48j)
2020/03/11 09:35:29.2757,Red Player,40,42,(40+42j)
2020/03/11 09:35:29.2787,Blue Player,35,48,(35+48j)
2020/03/11 09:35:29.2917,Red Player,40,42,(40+42j)
2020/03/11 09:35:29.2957,Blue Player,35,48,(35+48j)
2020/03/11 09:35:29.3097,Red Player,40,42,(40+42j)
2020/03/11 09:35:29.3127,Blue Player,35,48,(35+48j)
2020/03/11 09:35:29.3257,Red Player,40,42,(40+42j)
2020/03/11 09:35:29.3287,Blue Player,35,48,(35+48j)
2020/03/11 09:35:29.3417,Red Player,40,42,(40+42j)
2020/03/11 09:35:29.3457,Blue Player,35,49,(35+49j)
2020/03/11 09:35:29.3587,Red Player,40,42,(40+42j)
2020/03/11 09:35:29.3627,Blue Player,35,49,(35+49j)
2020/03/11 09:35:29.3757,Red Player,40,42,(40+42j)
2020/03/11 09:35:29.3787,Blue Player,35,48,(35+48j)
2020/03/11 09:35:29.3917,Red Player,40,42,(40+42j)
2020/03/11 09:35:29.3957,Blue Player,35,48,(35+48j)
2020/03/11 09:35:29.4087,Red Player,40,42,(40+42j)
2020/03/11 09:35:29.4127,Blue Player,35,48,(35+48j)
2020/03/11 09:35:29.4257,Red Player,41,42,(41+42j)
