Time,Player.Color,Position.X,Position.Y,Pos
2020/03/11 12:01:05.4438,Red Player,54,38,(54+38j)
2020/03/11 12:01:05.4518,Blue Player,50,32,(50+32j)
2020/03/11 12:01:05.6719,Red Player,52,38,(52+38j)
2020/03/11 12:01:05.6739,Blue Player,50,31,(50+31j)
2020/03/11 12:01:05.6769,Red Player,52,38,(52+38j)
2020/03/11 12:01:05.6779,Blue Player,50,31,(50+31j)
2020/03/11 12:01:05.6939,Red Player,52,38,(52+38j)
2020/03/11 12:01:05.6959,Blue Player,50,31,(50+31j)
2020/03/11 12:01:05.7099,Red Player,52,38,(52+38j)
2020/03/11 12:01:05.7119,Blue Player,50,31,(50+31j)
2020/03/11 12:01:05.7269,Red Player,52,38,(52+38j)
2020/03/11 12:01:05.7289,Blue Player,50,31,(50+31j)
2020/03/11 12:01:05.7429,Red Player,52,38,(52+38j)
2020/03/11 12:01:05.7449,Blue Player,50,31,(50+31j)
2020/03/11 12:01:05.7599,Red Player,52,38,(52+38j)
2020/03/11 12:01:05.7619,Blue Player,49,31,(49+31j)
2020/03/11 12:01:05.7759,Red Player,52,38,(52+38j)
2020/03/11 12:01:05.7779,Blue Player,49,31,(49+31j)
2020/03/11 12:01:05.7929,Red Player,52,39,(52+39j)
2020/03/11 12:01:05.7949,Blue Player,49,31,(49+31j)
2020/03/11 12:01:05.8089,Red Player,52,39,(52+39j)
2020/03/11 12:01:05.8119,Blue Player,49,31,(49+31j)
2020/03/11 12:01:05.8259,Red Player,52,39,(52+39j)
2020/03/11 12:01:05.8289,Blue Player,49,31,(49+31j)
2020/03/11 12:01:05.8429,Red Player,52,39,(52+39j)
2020/03/11 12:01:05.8459,Blue Player,49,31,(49+31j)
2020/03/11 12:01:05.8589,Red Player,52,39,(52+39j)
2020/03/11 12:01:05.8619,Blue Player,49,31,(49+31j)
2020/03/11 12:01:05.8759,Red Player,51,40,(51+40j)
2020/03/11 12:01:05.8779,Blue Player,49,31,(49+31j)
2020/03/11 12:01:05.8919,Red Player,51,40,(51+40j)
2020/03/11 12:01:05.8949,Blue Player,49,31,(49+31j)
2020/03/11 12:01:05.9089,Red Player,51,40,(51+40j)
2020/03/11 12:01:05.9119,Blue Player,49,31,(49+31j)
2020/03/11 12:01:05.9299,Red Player,51,40,(51+40j)
2020/03/11 12:01:05.9319,Blue Player,49,31,(49+31j)
2020/03/11 12:01:05.9429,Red Player,51,40,(51+40j)
2020/03/11 12:01:05.9459,Blue Player,49,31,(49+31j)
2020/03/11 12:01:05.9599,Red Player,52,41,(52+41j)
2020/03/11 12:01:05.9619,Blue Player,49,31,(49+31j)
2020/03/11 12:01:05.9759,Red Player,52,41,(52+41j)
2020/03/11 12:01:05.9789,Blue Player,49,31,(49+31j)
2020/03/11 12:01:05.9929,Red Player,52,42,(52+42j)
2020/03/11 12:01:05.9959,Blue Player,49,31,(49+31j)
2020/03/11 12:01:06.0089,Red Player,52,42,(52+42j)
2020/03/11 12:01:06.0129,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.0259,Red Player,52,42,(52+42j)
2020/03/11 12:01:06.0279,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.0429,Red Player,52,43,(52+43j)
2020/03/11 12:01:06.0459,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.0599,Red Player,53,43,(53+43j)
2020/03/11 12:01:06.0619,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.0759,Red Player,53,44,(53+44j)
2020/03/11 12:01:06.0779,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.0939,Red Player,53,44,(53+44j)
2020/03/11 12:01:06.0969,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.1089,Red Player,53,44,(53+44j)
2020/03/11 12:01:06.1109,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.1259,Red Player,53,44,(53+44j)
2020/03/11 12:01:06.1289,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.1429,Red Player,53,44,(53+44j)
2020/03/11 12:01:06.1459,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.1589,Red Player,53,45,(53+45j)
2020/03/11 12:01:06.1619,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.1759,Red Player,53,45,(53+45j)
2020/03/11 12:01:06.1789,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.1929,Red Player,53,45,(53+45j)
2020/03/11 12:01:06.1959,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.2089,Red Player,53,45,(53+45j)
2020/03/11 12:01:06.2119,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.2259,Red Player,53,45,(53+45j)
2020/03/11 12:01:06.2289,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.2589,Red Player,54,46,(54+46j)
2020/03/11 12:01:06.2629,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.2749,Red Player,54,46,(54+46j)
2020/03/11 12:01:06.2789,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.2919,Red Player,54,46,(54+46j)
2020/03/11 12:01:06.2949,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.3089,Red Player,54,46,(54+46j)
2020/03/11 12:01:06.3119,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.3259,Red Player,54,46,(54+46j)
2020/03/11 12:01:06.3299,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.3419,Red Player,55,47,(55+47j)
2020/03/11 12:01:06.3449,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.3589,Red Player,55,47,(55+47j)
2020/03/11 12:01:06.3619,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.3749,Red Player,55,47,(55+47j)
2020/03/11 12:01:06.3779,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.3919,Red Player,55,47,(55+47j)
2020/03/11 12:01:06.3949,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.4089,Red Player,55,47,(55+47j)
2020/03/11 12:01:06.4119,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.4259,Red Player,55,47,(55+47j)
2020/03/11 12:01:06.4289,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.4419,Red Player,55,47,(55+47j)
2020/03/11 12:01:06.4459,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.4589,Red Player,56,47,(56+47j)
2020/03/11 12:01:06.4629,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.4749,Red Player,56,47,(56+47j)
2020/03/11 12:01:06.4789,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.4919,Red Player,56,47,(56+47j)
2020/03/11 12:01:06.4949,Blue Player,49,29,(49+29j)
2020/03/11 12:01:06.5089,Red Player,56,47,(56+47j)
2020/03/11 12:01:06.5119,Blue Player,49,29,(49+29j)
2020/03/11 12:01:06.5259,Red Player,56,47,(56+47j)
2020/03/11 12:01:06.5279,Blue Player,49,29,(49+29j)
2020/03/11 12:01:06.5419,Red Player,56,47,(56+47j)
2020/03/11 12:01:06.5449,Blue Player,49,29,(49+29j)
2020/03/11 12:01:06.5589,Red Player,56,47,(56+47j)
2020/03/11 12:01:06.5639,Blue Player,49,29,(49+29j)
2020/03/11 12:01:06.5749,Red Player,56,47,(56+47j)
2020/03/11 12:01:06.5789,Blue Player,49,29,(49+29j)
2020/03/11 12:01:06.5919,Red Player,56,47,(56+47j)
2020/03/11 12:01:06.5949,Blue Player,49,29,(49+29j)
2020/03/11 12:01:06.6089,Red Player,56,47,(56+47j)
2020/03/11 12:01:06.6119,Blue Player,49,29,(49+29j)
2020/03/11 12:01:06.6249,Red Player,56,47,(56+47j)
2020/03/11 12:01:06.6279,Blue Player,49,29,(49+29j)
2020/03/11 12:01:06.6419,Red Player,56,47,(56+47j)
2020/03/11 12:01:06.6459,Blue Player,49,29,(49+29j)
2020/03/11 12:01:06.6589,Red Player,56,46,(56+46j)
2020/03/11 12:01:06.6629,Blue Player,49,29,(49+29j)
2020/03/11 12:01:06.6749,Red Player,56,46,(56+46j)
2020/03/11 12:01:06.6779,Blue Player,49,29,(49+29j)
2020/03/11 12:01:06.6919,Red Player,56,46,(56+46j)
2020/03/11 12:01:06.6949,Blue Player,49,29,(49+29j)
2020/03/11 12:01:06.7089,Red Player,56,46,(56+46j)
2020/03/11 12:01:06.7119,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.7249,Red Player,56,46,(56+46j)
2020/03/11 12:01:06.7289,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.7419,Red Player,56,46,(56+46j)
2020/03/11 12:01:06.7449,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.7589,Red Player,56,46,(56+46j)
2020/03/11 12:01:06.7609,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.7749,Red Player,56,45,(56+45j)
2020/03/11 12:01:06.7799,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.7919,Red Player,55,45,(55+45j)
2020/03/11 12:01:06.7949,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.8089,Red Player,55,45,(55+45j)
2020/03/11 12:01:06.8119,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.8249,Red Player,55,45,(55+45j)
2020/03/11 12:01:06.8289,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.8419,Red Player,55,45,(55+45j)
2020/03/11 12:01:06.8449,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.8589,Red Player,55,45,(55+45j)
2020/03/11 12:01:06.8619,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.8749,Red Player,55,45,(55+45j)
2020/03/11 12:01:06.8789,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.8919,Red Player,55,45,(55+45j)
2020/03/11 12:01:06.8959,Blue Player,49,30,(49+30j)
2020/03/11 12:01:06.9089,Red Player,55,44,(55+44j)
2020/03/11 12:01:06.9119,Blue Player,49,30,(49+30j)
