Time,Player.Color,Position.X,Position.Y,Pos
2020/03/11 10:17:56.4003,Red Player,69,40,(69+40j)
2020/03/11 10:17:56.4083,Blue Player,66,45,(66+45j)
2020/03/11 10:17:56.6353,Red Player,70,39,(70+39j)
2020/03/11 10:17:56.6373,Blue Player,66,43,(66+43j)
2020/03/11 10:17:56.6403,Red Player,70,39,(70+39j)
2020/03/11 10:17:56.6423,Blue Player,66,43,(66+43j)
2020/03/11 10:17:56.6603,Red Player,70,39,(70+39j)
2020/03/11 10:17:56.6723,Blue Player,66,43,(66+43j)
2020/03/11 10:17:56.6773,Red Player,70,39,(70+39j)
2020/03/11 10:17:56.6833,Blue Player,66,43,(66+43j)
2020/03/11 10:17:56.6953,Red Player,70,39,(70+39j)
2020/03/11 10:17:56.6983,Blue Player,66,43,(66+43j)
2020/03/11 10:17:56.7113,Red Player,70,39,(70+39j)
2020/03/11 10:17:56.7163,Blue Player,66,43,(66+43j)
2020/03/11 10:17:56.7453,Red Player,70,39,(70+39j)
2020/03/11 10:17:56.7473,Blue Player,66,43,(66+43j)
2020/03/11 10:17:56.7603,Red Player,70,39,(70+39j)
2020/03/11 10:17:56.7633,Blue Player,66,43,(66+43j)
2020/03/11 10:17:56.7773,Red Player,70,39,(70+39j)
2020/03/11 10:17:56.7803,Blue Player,66,43,(66+43j)
2020/03/11 10:17:56.7943,Red Player,70,39,(70+39j)
2020/03/11 10:17:56.7963,Blue Player,66,44,(66+44j)
2020/03/11 10:17:56.8113,Red Player,70,39,(70+39j)
2020/03/11 10:17:56.8143,Blue Player,66,44,(66+44j)
2020/03/11 10:17:56.8273,Red Player,70,39,(70+39j)
2020/03/11 10:17:56.8293,Blue Player,66,44,(66+44j)
2020/03/11 10:17:56.8443,Red Player,70,39,(70+39j)
2020/03/11 10:17:56.8463,Blue Player,66,44,(66+44j)
2020/03/11 10:17:56.8603,Red Player,70,39,(70+39j)
2020/03/11 10:17:56.8633,Blue Player,66,44,(66+44j)
2020/03/11 10:17:56.8773,Red Player,70,39,(70+39j)
2020/03/11 10:17:56.8803,Blue Player,65,45,(65+45j)
2020/03/11 10:17:56.8943,Red Player,70,39,(70+39j)
2020/03/11 10:17:56.8963,Blue Player,65,45,(65+45j)
2020/03/11 10:17:56.9103,Red Player,70,39,(70+39j)
2020/03/11 10:17:56.9143,Blue Player,65,46,(65+46j)
2020/03/11 10:17:56.9273,Red Player,70,39,(70+39j)
2020/03/11 10:17:56.9313,Blue Player,65,46,(65+46j)
2020/03/11 10:17:56.9443,Red Player,70,39,(70+39j)
2020/03/11 10:17:56.9483,Blue Player,65,46,(65+46j)
2020/03/11 10:17:56.9603,Red Player,70,39,(70+39j)
2020/03/11 10:17:56.9633,Blue Player,65,47,(65+47j)
2020/03/11 10:17:56.9773,Red Player,70,39,(70+39j)
2020/03/11 10:17:56.9803,Blue Player,65,47,(65+47j)
2020/03/11 10:17:56.9943,Red Player,70,39,(70+39j)
2020/03/11 10:17:56.9963,Blue Player,65,48,(65+48j)
2020/03/11 10:17:57.0103,Red Player,70,39,(70+39j)
2020/03/11 10:17:57.0143,Blue Player,65,49,(65+49j)
2020/03/11 10:17:57.0273,Red Player,70,39,(70+39j)
2020/03/11 10:17:57.0303,Blue Player,65,49,(65+49j)
2020/03/11 10:17:57.0443,Red Player,70,39,(70+39j)
2020/03/11 10:17:57.0473,Blue Player,65,50,(65+50j)
2020/03/11 10:17:57.0613,Red Player,70,39,(70+39j)
2020/03/11 10:17:57.0643,Blue Player,64,50,(64+50j)
2020/03/11 10:17:57.0773,Red Player,70,39,(70+39j)
2020/03/11 10:17:57.0803,Blue Player,64,50,(64+50j)
2020/03/11 10:17:57.0943,Red Player,70,39,(70+39j)
2020/03/11 10:17:57.0973,Blue Player,64,51,(64+51j)
2020/03/11 10:17:57.1103,Red Player,70,39,(70+39j)
2020/03/11 10:17:57.1133,Blue Player,64,51,(64+51j)
2020/03/11 10:17:57.1273,Red Player,70,39,(70+39j)
2020/03/11 10:17:57.1303,Blue Player,64,51,(64+51j)
2020/03/11 10:17:57.1443,Red Player,70,39,(70+39j)
2020/03/11 10:17:57.1473,Blue Player,64,51,(64+51j)
