Time,Player.Color,Position.X,Position.Y,Pos
2020/03/11 09:51:42.5224,Red Player,55,37,(55+37j)
2020/03/11 09:51:42.5334,Blue Player,57,25,(57+25j)
2020/03/11 09:51:42.7785,Red Player,52,37,(52+37j)
2020/03/11 09:51:42.7805,Blue Player,55,24,(55+24j)
2020/03/11 09:51:42.7835,Red Player,52,37,(52+37j)
2020/03/11 09:51:42.7855,Blue Player,55,24,(55+24j)
2020/03/11 09:51:42.7965,Red Player,52,37,(52+37j)
2020/03/11 09:51:42.7985,Blue Player,55,24,(55+24j)
2020/03/11 09:51:42.8135,Red Player,51,37,(51+37j)
2020/03/11 09:51:42.8155,Blue Player,55,23,(55+23j)
2020/03/11 09:51:42.8315,Red Player,51,37,(51+37j)
2020/03/11 09:51:42.8335,Blue Player,55,23,(55+23j)
2020/03/11 09:51:42.8475,Red Player,51,38,(51+38j)
2020/03/11 09:51:42.8495,Blue Player,55,23,(55+23j)
2020/03/11 09:51:42.8635,Red Player,51,38,(51+38j)
2020/03/11 09:51:42.8655,Blue Player,55,23,(55+23j)
2020/03/11 09:51:42.8805,Red Player,51,38,(51+38j)
2020/03/11 09:51:42.8825,Blue Player,55,23,(55+23j)
2020/03/11 09:51:42.8965,Red Player,51,38,(51+38j)
2020/03/11 09:51:42.8985,Blue Player,55,23,(55+23j)
2020/03/11 09:51:42.9135,Red Player,51,38,(51+38j)
2020/03/11 09:51:42.9155,Blue Player,55,23,(55+23j)
2020/03/11 09:51:42.9305,Red Player,51,38,(51+38j)
2020/03/11 09:51:42.9335,Blue Player,55,23,(55+23j)
2020/03/11 09:51:42.9465,Red Player,51,38,(51+38j)
2020/03/11 09:51:42.9485,Blue Player,55,22,(55+22j)
2020/03/11 09:51:42.9625,Red Player,50,38,(50+38j)
2020/03/11 09:51:42.9655,Blue Player,55,22,(55+22j)
2020/03/11 09:51:42.9795,Red Player,50,39,(50+39j)
2020/03/11 09:51:42.9815,Blue Player,55,22,(55+22j)
2020/03/11 09:51:42.9955,Red Player,50,39,(50+39j)
2020/03/11 09:51:42.9995,Blue Player,55,21,(55+21j)
2020/03/11 09:51:43.0135,Red Player,50,39,(50+39j)
2020/03/11 09:51:43.0165,Blue Player,54,21,(54+21j)
2020/03/11 09:51:43.0295,Red Player,50,39,(50+39j)
