Time,Player.Color,Position.X,Position.Y,Pos
2020/03/11 10:51:55.6799,Red Player,59,54,(59+54j)
2020/03/11 10:51:55.6869,Blue Player,50,56,(50+56j)
2020/03/11 10:51:55.9339,Red Player,59,54,(59+54j)
2020/03/11 10:51:55.9359,Blue Player,50,56,(50+56j)
2020/03/11 10:51:55.9389,Red Player,59,54,(59+54j)
2020/03/11 10:51:55.9409,Blue Player,50,56,(50+56j)
2020/03/11 10:51:55.9609,Red Player,59,54,(59+54j)
2020/03/11 10:51:55.9629,Blue Player,50,56,(50+56j)
2020/03/11 10:51:55.9779,Red Player,59,54,(59+54j)
2020/03/11 10:51:55.9799,Blue Player,50,56,(50+56j)
2020/03/11 10:51:55.9939,Red Player,59,54,(59+54j)
2020/03/11 10:51:55.9959,Blue Player,50,56,(50+56j)
2020/03/11 10:51:56.0099,Red Player,59,54,(59+54j)
2020/03/11 10:51:56.0129,Blue Player,50,56,(50+56j)
2020/03/11 10:51:56.0259,Red Player,59,54,(59+54j)
2020/03/11 10:51:56.0279,Blue Player,50,56,(50+56j)
2020/03/11 10:51:56.0419,Red Player,59,54,(59+54j)
2020/03/11 10:51:56.0449,Blue Player,50,56,(50+56j)
2020/03/11 10:51:56.0619,Red Player,59,54,(59+54j)
2020/03/11 10:51:56.0649,Blue Player,50,56,(50+56j)
2020/03/11 10:51:56.0759,Red Player,59,54,(59+54j)
2020/03/11 10:51:56.0799,Blue Player,50,56,(50+56j)
2020/03/11 10:51:56.0939,Red Player,59,54,(59+54j)
2020/03/11 10:51:56.0969,Blue Player,50,56,(50+56j)
2020/03/11 10:51:56.1099,Red Player,59,54,(59+54j)
2020/03/11 10:51:56.1129,Blue Player,50,56,(50+56j)
2020/03/11 10:51:56.1269,Red Player,59,54,(59+54j)
2020/03/11 10:51:56.1289,Blue Player,50,56,(50+56j)
2020/03/11 10:51:56.1429,Red Player,59,54,(59+54j)
2020/03/11 10:51:56.1459,Blue Player,50,56,(50+56j)
2020/03/11 10:51:56.1589,Red Player,59,54,(59+54j)
2020/03/11 10:51:56.1619,Blue Player,50,56,(50+56j)
2020/03/11 10:51:56.1759,Red Player,59,54,(59+54j)
2020/03/11 10:51:56.1789,Blue Player,50,56,(50+56j)
2020/03/11 10:51:56.1919,Red Player,59,54,(59+54j)
2020/03/11 10:51:56.1949,Blue Player,50,56,(50+56j)
2020/03/11 10:51:56.2099,Red Player,60,54,(60+54j)
2020/03/11 10:51:56.2129,Blue Player,50,56,(50+56j)
2020/03/11 10:51:56.2249,Red Player,60,54,(60+54j)
2020/03/11 10:51:56.2279,Blue Player,50,56,(50+56j)
2020/03/11 10:51:56.2419,Red Player,60,54,(60+54j)
2020/03/11 10:51:56.2459,Blue Player,50,56,(50+56j)
2020/03/11 10:51:56.2599,Red Player,60,54,(60+54j)
2020/03/11 10:51:56.2629,Blue Player,50,56,(50+56j)
2020/03/11 10:51:56.2759,Red Player,60,54,(60+54j)
2020/03/11 10:51:56.2789,Blue Player,50,56,(50+56j)
2020/03/11 10:51:56.2919,Red Player,60,54,(60+54j)
2020/03/11 10:51:56.2959,Blue Player,51,56,(51+56j)
2020/03/11 10:51:56.3099,Red Player,60,54,(60+54j)
2020/03/11 10:51:56.3129,Blue Player,51,56,(51+56j)
2020/03/11 10:51:56.3249,Red Player,60,54,(60+54j)
2020/03/11 10:51:56.3279,Blue Player,51,56,(51+56j)
2020/03/11 10:51:56.3419,Red Player,60,54,(60+54j)
2020/03/11 10:51:56.3469,Blue Player,51,56,(51+56j)
2020/03/11 10:51:56.3589,Red Player,60,54,(60+54j)
2020/03/11 10:51:56.3629,Blue Player,51,56,(51+56j)
2020/03/11 10:51:56.3749,Red Player,60,54,(60+54j)
2020/03/11 10:51:56.3789,Blue Player,51,56,(51+56j)
2020/03/11 10:51:56.3919,Red Player,60,54,(60+54j)
2020/03/11 10:51:56.3939,Blue Player,51,56,(51+56j)
2020/03/11 10:51:56.4089,Red Player,60,54,(60+54j)
2020/03/11 10:51:56.4129,Blue Player,51,56,(51+56j)
2020/03/11 10:51:56.4249,Red Player,61,54,(61+54j)
2020/03/11 10:51:56.4289,Blue Player,51,56,(51+56j)
2020/03/11 10:51:56.4419,Red Player,61,54,(61+54j)
2020/03/11 10:51:56.4449,Blue Player,51,56,(51+56j)
2020/03/11 10:51:56.4579,Red Player,61,54,(61+54j)
2020/03/11 10:51:56.4609,Blue Player,51,56,(51+56j)
2020/03/11 10:51:56.4759,Red Player,61,54,(61+54j)
2020/03/11 10:51:56.4789,Blue Player,51,56,(51+56j)
2020/03/11 10:51:56.4929,Red Player,61,54,(61+54j)
2020/03/11 10:51:56.4949,Blue Player,51,56,(51+56j)
2020/03/11 10:51:56.5089,Red Player,61,54,(61+54j)
2020/03/11 10:51:56.5119,Blue Player,51,56,(51+56j)
2020/03/11 10:51:56.5249,Red Player,61,54,(61+54j)
2020/03/11 10:51:56.5279,Blue Player,51,56,(51+56j)
2020/03/11 10:51:56.5419,Red Player,62,54,(62+54j)
