Time,Player.Color,Position.X,Position.Y,Pos
2020/03/11 11:19:42.9260,Red Player,57,32,(57+32j)
2020/03/11 11:19:42.9330,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.1320,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.1340,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.1370,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.1390,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.1710,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.1730,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.1960,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.2031,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.2161,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.2211,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.2561,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.2591,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.2811,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.2831,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.2961,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.2991,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.3131,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.3171,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.3291,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.3331,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.3461,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.3511,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.3831,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.3881,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.4021,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.4041,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.4121,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.4151,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.4291,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.4321,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.4461,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.4491,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.4621,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.4661,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.4791,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.4821,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.4961,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.4991,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.5121,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.5151,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.5291,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.5321,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.5461,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.5491,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.5621,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.5651,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.5791,Red Player,57,32,(57+32j)
2020/03/11 11:19:43.5821,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.5981,Red Player,57,31,(57+31j)
2020/03/11 11:19:43.6011,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.6121,Red Player,57,31,(57+31j)
2020/03/11 11:19:43.6151,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.6291,Red Player,57,31,(57+31j)
2020/03/11 11:19:43.6321,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.6461,Red Player,57,31,(57+31j)
2020/03/11 11:19:43.6491,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.6621,Red Player,57,31,(57+31j)
2020/03/11 11:19:43.6651,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.6791,Red Player,57,31,(57+31j)
2020/03/11 11:19:43.6821,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.6961,Red Player,57,31,(57+31j)
2020/03/11 11:19:43.6981,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.7121,Red Player,57,31,(57+31j)
2020/03/11 11:19:43.7151,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.7291,Red Player,57,31,(57+31j)
2020/03/11 11:19:43.7321,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.7461,Red Player,57,31,(57+31j)
2020/03/11 11:19:43.7491,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.7621,Red Player,57,30,(57+30j)
2020/03/11 11:19:43.7661,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.7791,Red Player,57,30,(57+30j)
2020/03/11 11:19:43.7831,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.7961,Red Player,57,30,(57+30j)
2020/03/11 11:19:43.7991,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.8121,Red Player,57,30,(57+30j)
2020/03/11 11:19:43.8161,Blue Player,71,47,(71+47j)
2020/03/11 11:19:43.8291,Red Player,57,30,(57+30j)
2020/03/11 11:19:43.8321,Blue Player,71,47,(71+47j)
