Time,Player.Color,Position.X,Position.Y,Pos
2020/03/11 11:48:02.2422,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.2512,Blue Player,73,50,(73+50j)
2020/03/11 11:48:02.4952,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.4972,Blue Player,73,54,(73+54j)
2020/03/11 11:48:02.5002,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.5032,Blue Player,73,54,(73+54j)
2020/03/11 11:48:02.5192,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.5222,Blue Player,73,54,(73+54j)
2020/03/11 11:48:02.5352,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.5383,Blue Player,73,54,(73+54j)
2020/03/11 11:48:02.5523,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.5563,Blue Player,73,55,(73+55j)
2020/03/11 11:48:02.5703,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.5723,Blue Player,73,55,(73+55j)
2020/03/11 11:48:02.5873,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.5893,Blue Player,74,56,(74+56j)
2020/03/11 11:48:02.6023,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.6053,Blue Player,74,56,(74+56j)
2020/03/11 11:48:02.6193,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.6223,Blue Player,74,56,(74+56j)
2020/03/11 11:48:02.6363,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.6393,Blue Player,74,56,(74+56j)
2020/03/11 11:48:02.6533,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.6553,Blue Player,74,55,(74+55j)
2020/03/11 11:48:02.6693,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.6723,Blue Player,74,55,(74+55j)
2020/03/11 11:48:02.6863,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.6883,Blue Player,74,55,(74+55j)
2020/03/11 11:48:02.7023,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.7053,Blue Player,74,55,(74+55j)
2020/03/11 11:48:02.7203,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.7243,Blue Player,74,55,(74+55j)
2020/03/11 11:48:02.7363,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.7383,Blue Player,74,55,(74+55j)
2020/03/11 11:48:02.7523,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.7553,Blue Player,74,55,(74+55j)
2020/03/11 11:48:02.7693,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.7713,Blue Player,74,56,(74+56j)
2020/03/11 11:48:02.7863,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.7903,Blue Player,75,56,(75+56j)
2020/03/11 11:48:02.8023,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.8053,Blue Player,75,57,(75+57j)
2020/03/11 11:48:02.8203,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.8233,Blue Player,75,58,(75+58j)
2020/03/11 11:48:02.8353,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.8383,Blue Player,76,59,(76+59j)
2020/03/11 11:48:02.8523,Red Player,78,32,(78+32j)
2020/03/11 11:48:02.8563,Blue Player,76,59,(76+59j)
2020/03/11 11:48:02.8693,Red Player,78,32,(78+32j)
