Time,Player.Color,Position.X,Position.Y,Pos
2020/03/11 11:04:37.0155,Red Player,69,38,(69+38j)
2020/03/11 11:04:37.0265,Blue Player,65,42,(65+42j)
2020/03/11 11:04:37.2546,Red Player,68,37,(68+37j)
2020/03/11 11:04:37.2566,Blue Player,67,42,(67+42j)
2020/03/11 11:04:37.2596,Red Player,68,37,(68+37j)
2020/03/11 11:04:37.2626,Blue Player,67,42,(67+42j)
2020/03/11 11:04:37.2806,Red Player,68,37,(68+37j)
2020/03/11 11:04:37.2826,Blue Player,67,42,(67+42j)
2020/03/11 11:04:37.2976,Red Player,68,37,(68+37j)
2020/03/11 11:04:37.2996,Blue Player,67,42,(67+42j)
2020/03/11 11:04:37.3136,Red Player,68,37,(68+37j)
2020/03/11 11:04:37.3156,Blue Player,67,42,(67+42j)
2020/03/11 11:04:37.3306,Red Player,68,37,(68+37j)
2020/03/11 11:04:37.3326,Blue Player,67,42,(67+42j)
2020/03/11 11:04:37.3476,Red Player,68,37,(68+37j)
2020/03/11 11:04:37.3496,Blue Player,67,42,(67+42j)
2020/03/11 11:04:37.3636,Red Player,68,37,(68+37j)
2020/03/11 11:04:37.3656,Blue Player,67,42,(67+42j)
2020/03/11 11:04:37.3806,Red Player,68,37,(68+37j)
2020/03/11 11:04:37.3826,Blue Player,68,42,(68+42j)
2020/03/11 11:04:37.4016,Red Player,68,37,(68+37j)
2020/03/11 11:04:37.4036,Blue Player,68,43,(68+43j)
2020/03/11 11:04:37.4136,Red Player,67,37,(67+37j)
2020/03/11 11:04:37.4156,Blue Player,68,43,(68+43j)
2020/03/11 11:04:37.4306,Red Player,67,37,(67+37j)
2020/03/11 11:04:37.4346,Blue Player,68,43,(68+43j)
2020/03/11 11:04:37.4466,Red Player,67,37,(67+37j)
2020/03/11 11:04:37.4496,Blue Player,68,43,(68+43j)
2020/03/11 11:04:37.4636,Red Player,67,37,(67+37j)
2020/03/11 11:04:37.4666,Blue Player,68,43,(68+43j)
2020/03/11 11:04:37.4806,Red Player,67,37,(67+37j)
2020/03/11 11:04:37.4826,Blue Player,68,43,(68+43j)
2020/03/11 11:04:37.4976,Red Player,67,37,(67+37j)
2020/03/11 11:04:37.5006,Blue Player,68,43,(68+43j)
2020/03/11 11:04:37.5136,Red Player,67,37,(67+37j)
2020/03/11 11:04:37.5156,Blue Player,68,43,(68+43j)
2020/03/11 11:04:37.5306,Red Player,67,37,(67+37j)
2020/03/11 11:04:37.5336,Blue Player,68,43,(68+43j)
2020/03/11 11:04:37.5466,Red Player,67,37,(67+37j)
2020/03/11 11:04:37.5496,Blue Player,68,43,(68+43j)
2020/03/11 11:04:37.5636,Red Player,67,37,(67+37j)
2020/03/11 11:04:37.5676,Blue Player,68,44,(68+44j)
2020/03/11 11:04:37.5796,Red Player,67,37,(67+37j)
2020/03/11 11:04:37.5826,Blue Player,68,44,(68+44j)
2020/03/11 11:04:37.5966,Red Player,67,37,(67+37j)
2020/03/11 11:04:37.5996,Blue Player,69,44,(69+44j)
2020/03/11 11:04:37.6136,Red Player,67,37,(67+37j)
2020/03/11 11:04:37.6166,Blue Player,69,44,(69+44j)
2020/03/11 11:04:37.6306,Red Player,67,37,(67+37j)
2020/03/11 11:04:37.6326,Blue Player,69,44,(69+44j)
2020/03/11 11:04:37.6466,Red Player,67,37,(67+37j)
2020/03/11 11:04:37.6496,Blue Player,69,44,(69+44j)
2020/03/11 11:04:37.6636,Red Player,67,37,(67+37j)
2020/03/11 11:04:37.6656,Blue Player,69,44,(69+44j)
2020/03/11 11:04:37.6806,Red Player,67,37,(67+37j)
