Time,Player.Color,Position.X,Position.Y,Pos
2020/03/11 10:05:24.5696,Red Player,68,58,(68+58j)
2020/03/11 10:05:24.5796,Blue Player,58,41,(58+41j)
2020/03/11 10:05:24.8007,Red Player,68,59,(68+59j)
2020/03/11 10:05:24.8027,Blue Player,58,42,(58+42j)
2020/03/11 10:05:24.8057,Red Player,68,59,(68+59j)
2020/03/11 10:05:24.8077,Blue Player,58,42,(58+42j)
2020/03/11 10:05:24.8227,Red Player,68,59,(68+59j)
2020/03/11 10:05:24.8247,Blue Player,58,42,(58+42j)
2020/03/11 10:05:24.8397,Red Player,68,59,(68+59j)
2020/03/11 10:05:24.8417,Blue Player,58,42,(58+42j)
2020/03/11 10:05:24.8567,Red Player,68,59,(68+59j)
2020/03/11 10:05:24.8587,Blue Player,59,42,(59+42j)
2020/03/11 10:05:24.8727,Red Player,68,59,(68+59j)
2020/03/11 10:05:24.8757,Blue Player,59,42,(59+42j)
2020/03/11 10:05:24.8897,Red Player,68,59,(68+59j)
2020/03/11 10:05:24.8927,Blue Player,59,42,(59+42j)
2020/03/11 10:05:24.9057,Red Player,68,59,(68+59j)
2020/03/11 10:05:24.9077,Blue Player,59,42,(59+42j)
2020/03/11 10:05:24.9227,Red Player,68,59,(68+59j)
2020/03/11 10:05:24.9247,Blue Player,59,42,(59+42j)
2020/03/11 10:05:24.9387,Red Player,68,59,(68+59j)
2020/03/11 10:05:24.9407,Blue Player,59,42,(59+42j)
2020/03/11 10:05:24.9557,Red Player,68,59,(68+59j)
2020/03/11 10:05:24.9587,Blue Player,59,42,(59+42j)
2020/03/11 10:05:24.9727,Red Player,68,59,(68+59j)
2020/03/11 10:05:24.9747,Blue Player,59,42,(59+42j)
2020/03/11 10:05:24.9887,Red Player,68,59,(68+59j)
2020/03/11 10:05:24.9917,Blue Player,59,42,(59+42j)
2020/03/11 10:05:25.0067,Red Player,68,59,(68+59j)
2020/03/11 10:05:25.0097,Blue Player,59,42,(59+42j)
2020/03/11 10:05:25.0237,Red Player,68,59,(68+59j)
2020/03/11 10:05:25.0267,Blue Player,59,42,(59+42j)
2020/03/11 10:05:25.0397,Red Player,68,59,(68+59j)
2020/03/11 10:05:25.0427,Blue Player,59,42,(59+42j)
2020/03/11 10:05:25.0567,Red Player,68,59,(68+59j)
2020/03/11 10:05:25.0597,Blue Player,59,42,(59+42j)
2020/03/11 10:05:25.0737,Red Player,68,59,(68+59j)
2020/03/11 10:05:25.0767,Blue Player,59,42,(59+42j)
2020/03/11 10:05:25.0907,Red Player,68,59,(68+59j)
2020/03/11 10:05:25.0947,Blue Player,59,42,(59+42j)
2020/03/11 10:05:25.1057,Red Player,68,59,(68+59j)
2020/03/11 10:05:25.1087,Blue Player,59,42,(59+42j)
2020/03/11 10:05:25.1227,Red Player,68,59,(68+59j)
2020/03/11 10:05:25.1257,Blue Player,59,43,(59+43j)
2020/03/11 10:05:25.1387,Red Player,68,59,(68+59j)
2020/03/11 10:05:25.1427,Blue Player,59,43,(59+43j)
2020/03/11 10:05:25.1557,Red Player,68,59,(68+59j)
2020/03/11 10:05:25.1577,Blue Player,59,43,(59+43j)
2020/03/11 10:05:25.1727,Red Player,68,59,(68+59j)
2020/03/11 10:05:25.1747,Blue Player,59,43,(59+43j)
